X,Y,temperatura
-2810817.143,17597516.88,-31.9
-2755157.397,17597516.88,-31.8
-2699497.652,17597516.88,-31.2
-2643837.906,17597516.88,-30.6
-2588178.161,17597516.88,-30.4
-2532518.416,17597516.88,-30.2
-2476858.67,17597516.88,-30.1
-2421198.925,17597516.88,-29.8
-9823945.063,17170933.41,-37.1
-9768285.317,17170933.41,-37.1
-9656965.826,17170933.41,-37.1
-9601306.081,17170933.41,-37.3
-9545646.336,17170933.41,-35.4
-9489986.59,17170933.41,-35.5
-9434326.845,17170933.41,-35.5
-9378667.099,17170933.41,-35.5
-9323007.354,17170933.41,-37.2
-9267347.609,17170933.41,-35.5
-9211687.863,17170933.41,-34.8
-9156028.118,17170933.41,-34.9
-9100368.372,17170933.41,-34.8
-9044708.627,17170933.41,-34.8
-8989048.882,17170933.41,-34.5
-8933389.136,17170933.41,-33.8
-8877729.391,17170933.41,-33.9
-8822069.645,17170933.41,-38.4
-8766409.9,17170933.41,-38.7
-8710750.155,17170933.41,-38.9
-8655090.409,17170933.41,-39.4
-8599430.664,17170933.41,-39.5
-8543770.918,17170933.41,-38.4
-8488111.173,17170933.41,-38.3
-8432451.428,17170933.41,-38.3
-8376791.682,17170933.41,-38.6
-8321131.937,17170933.41,-38.8
-8265472.191,17170933.41,-38.8
-8209812.446,17170933.41,-38.3
-8154152.701,17170933.41,-38.1
-8098492.955,17170933.41,-38.2
-8042833.21,17170933.41,-38.4
-7987173.464,17170933.41,-38.2
-7931513.719,17170933.41,-38.1
-7875853.974,17170933.41,-38
-7820194.228,17170933.41,-37.8
-7764534.483,17170933.41,-37.5
-7708874.737,17170933.41,-37.3
-7653214.992,17170933.41,-33.5
-7597555.247,17170933.41,-33.6
-7541895.501,17170933.41,-37
-7486235.756,17170933.41,-36.9
-7430576.01,17170933.41,-37
-7374916.265,17170933.41,-36.8
-7319256.52,17170933.41,-36.6
-7263596.774,17170933.41,-36.4
-7207937.029,17170933.41,-33.6
-7152277.283,17170933.41,-33.8
-7096617.538,17170933.41,-34.2
-7040957.793,17170933.41,-34.5
-6985298.047,17170933.41,-34.6
-6929638.302,17170933.41,-36.3
-6873978.556,17170933.41,-36.3
-6818318.811,17170933.41,-36.2
-6651339.575,17170933.41,-34.9
-6540020.084,17170933.41,-35
-6484360.339,17170933.41,-35.2
-6428700.593,17170933.41,-35.4
-6373040.848,17170933.41,-35.3
-6317381.103,17170933.41,-35.4
-6261721.357,17170933.41,-35.7
-6206061.612,17170933.41,-35.2
-6150401.866,17170933.41,-35.5
-6094742.121,17170933.41,-35.3
-6039082.376,17170933.41,-34.5
-5983422.63,17170933.41,-34.8
-5927762.885,17170933.41,-34.7
-5872103.139,17170933.41,-34.4
-5816443.394,17170933.41,-34.2
-5760783.649,17170933.41,-34.6
-5705123.903,17170933.41,-34.5
-5649464.158,17170933.41,-34.8
-5593804.412,17170933.41,-34.4
-5538144.667,17170933.41,-34.1
-5482484.922,17170933.41,-34.1
-5426825.176,17170933.41,-34
-5371165.431,17170933.41,-34
-5315505.685,17170933.41,-33.5
-5259845.94,17170933.41,-34.9
-5204186.195,17170933.41,-34.7
-5148526.449,17170933.41,-34.4
-5092866.704,17170933.41,-34.7
-5037206.958,17170933.41,-33.4
-4981547.213,17170933.41,-33.3
-4925887.468,17170933.41,-33.2
-4870227.722,17170933.41,-33.1
-4814567.977,17170933.41,-33
-4758908.231,17170933.41,-33
-4703248.486,17170933.41,-33
-4647588.741,17170933.41,-33.1
-4591928.995,17170933.41,-33.1
-4536269.25,17170933.41,-33.2
-4480609.504,17170933.41,-33.1
