X,Y,Nombre,Confimados,,,
27953389,53709807,Bielorrusia ,1,†,†,†
-37837117,521306607,Gales ,1,†,†,†
47576927,40143105,Azerbaiya°n ,1,†,†,†
-19020835,64963051,Islandia ,1,†,†,†
-166291304,282915637,Canarias ,5,†,†,†
-47277528,375442706,Andaluca,8,†,†,†
-43976357,418356821,Castilla y Lean ,2,†,†,†
-37037902,404167754,Madrid ,5,†,†,†
-7.53E+14,394840108,Comunidad Valenciana ,10,†,†,
15208624,415911589,Cataluana ,4,†,†,†
-9.06E+14,415976275,Aragan ,1,†,†,†
-26189273,429896248,Pas Vasco ,2,†,†,†
148475139,411099473,Campania ,3,†,†,†
137289167,421920119,Abruzos ,1,†,†,†
