,Country,Homicides,Rate
0,Armenia,157,4.8
1,Australia,320,1.8
2,Brazil,29851,18.7
3,Bulgaria,492,5.8
4,Canada,596,2.1
5,"China, Hong Kong Special Administrative Region",96,1.6
6,Colombia,27079,73.5
7,Costa Rica,182,5.3
8,Croatia,143,3.1
9,Cyprus,7,0.8
10,Denmark,75,1.4
11,Ecuador,1139,10.2
12,Estonia,302,20.7
13,Finland,147,2.9
14,France,1406,2.4
15,Germany,1343,1.7
16,Guyana,108,14.2
17,Hungary,313,3
18,Ireland,25,0.7
19,Jamaica,692,27.5
20,Japan,751,0.6
21,Kyrgyzstan,546,12.1
22,Lithuania,465,12.7
23,Mexico,15839,17.2
24,Netherlands,171,1.1
25,New Zealand,57,1.6
26,Norway,33,0.8
27,Panama,323,12
28,Poland,917,2.4
29,Portugal,143,1.4
30,Puerto Rico,995,27.2
31,Republic of Korea,224,0.5
32,Romania,776,3.4
33,Saint Lucia,10,6.9
34,Singapore,49,1.4
35,Slovenia,41,2.1
36,Spain,429,1.1
37,Sweden,100,1.1
38,Switzerland,80,1.1
39,United Kingdom (England and Wales),727,1.4
40,United Kingdom (Northern Ireland),83,5
41,United Kingdom (Scotland),109,2.1
42,United Kingdom of Great Britain and Northern Ireland,919,1.6
43,United States of America,23326,8.9
