,Country,Homicides,Rate
0,Armenia,178,5
1,Australia,374,2.2
2,Brazil,29301,19.6
3,Bulgaria,227,2.6
4,Canada,657,2.4
5,"China, Hong Kong Special Administrative Region",137,2.4
6,Colombia,24330,71
7,Costa Rica,139,4.5
8,Croatia,137,2.9
9,Cyprus,5,0.7
10,Denmark,41,0.8
11,Ecuador,892,8.7
12,Estonia,118,7.5
13,Finland,152,3
14,France,1355,2.4
15,Germany,1173,1.5
16,Guyana,90,12.1
17,Hungary,201,1.9
18,Ireland,17,0.5
19,Jamaica,544,22.4
20,Japan,676,0.5
21,Kyrgyzstan,603,13.8
22,Lithuania,180,4.9
23,Mexico,14493,17
24,Netherlands,135,0.9
25,New Zealand,63,1.9
26,Norway,47,1.1
27,Panama,278,11.3
28,Poland,679,1.8
29,Portugal,155,1.6
30,Puerto Rico,600,17.1
31,Republic of Korea,208,0.5
32,Romania,796,3.4
33,Saint Lucia,14,10.1
34,Singapore,47,1.6
35,Slovenia,41,2
36,Spain,484,1.2
37,Sweden,95,1.1
38,Switzerland,110,1.6
39,United Kingdom (England and Wales),537,1.1
40,United Kingdom (Northern Ireland),100,6.3
41,United Kingdom (Scotland),76,1.5
42,United Kingdom of Great Britain and Northern Ireland,713,1.2
43,United States of America,23438,9.3
