,Country,Homicides,Rate
0,Armenia,58,1.9
1,Australia,259,1.3
2,Brazil,43645,23.3
3,Bulgaria,199,2.6
4,Canada,664,2.1
5,"China, Hong Kong Special Administrative Region",34,0.5
6,Colombia,18111,41.8
7,Costa Rica,335,7.9
8,Croatia,68,1.6
9,Cyprus,20,1.9
10,Denmark,53,1
11,Ecuador,2121,15.4
12,Estonia,113,8.3
13,Finland,119,2.3
14,France,976,1.6
15,Germany,869,1.1
16,Guyana,142,18.9
17,Hungary,164,1.6
18,Ireland,52,1.2
19,Jamaica,1674,61
20,Japan,643,0.5
21,Kyrgyzstan,491,9.7
22,Lithuania,372,11.1
23,Mexico,9921,9.1
24,Netherlands,174,1.1
25,New Zealand,61,1.5
26,Norway,33,0.7
27,Panama,364,10.9
28,Poland,555,1.4
29,Portugal,135,1.3
30,Puerto Rico,771,20.5
31,Republic of Korea,411,0.8
32,Romania,453,2.1
33,Saint Lucia,41,25
34,Singapore,21,0.5
35,Slovenia,20,1
36,Spain,518,1.2
37,Sweden,83,0.9
38,Switzerland,75,1
39,United Kingdom (England and Wales),708,1.3
40,United Kingdom (Northern Ireland),31,1.8
41,United Kingdom (Scotland),95,1.9
42,United Kingdom of Great Britain and Northern Ireland,834,1.4
43,United States of America,16740,5.7
