,Country,Homicides,Rate
0,Armenia,305,8.9
1,Australia,301,1.7
2,Brazil,25967,16.8
3,Bulgaria,462,5.3
4,Canada,733,2.6
5,"China, Hong Kong Special Administrative Region",108,1.8
6,Colombia,28184,79.3
7,Costa Rica,160,4.9
8,Croatia,387,8.2
9,Cyprus,2,0.2
10,Denmark,62,1.2
11,Ecuador,935,8.7
12,Estonia,217,14.3
13,Finland,156,3.1
14,France,1342,2.3
15,Germany,1391,1.7
16,Guyana,105,14
17,Hungary,305,2.9
18,Ireland,25,0.7
19,Jamaica,632,25.6
20,Japan,673,0.5
21,Kyrgyzstan,468,10.5
22,Lithuania,266,7.2
23,Mexico,16594,18.7
24,Netherlands,193,1.3
25,New Zealand,67,1.9
26,Norway,46,1.1
27,Panama,311,12.1
28,Poland,857,2.2
29,Portugal,143,1.4
30,Puerto Rico,864,24.1
31,Republic of Korea,240,0.5
32,Romania,839,3.6
33,Saint Lucia,14,9.9
34,Singapore,43,1.3
35,Slovenia,48,2.4
36,Spain,441,1.1
37,Sweden,114,1.3
38,Switzerland,93,1.4
39,United Kingdom (England and Wales),651,1.3
40,United Kingdom (Northern Ireland),108,6.7
41,United Kingdom (Scotland),110,2.2
42,United Kingdom of Great Britain and Northern Ireland,869,1.5
43,United States of America,23760,9.2
