,Country,Homicides,Rate
0,Armenia,91,3
1,Australia,362,1.9
2,Brazil,41595,23.7
3,Bulgaria,332,4.2
4,Canada,546,1.8
5,"China, Hong Kong Special Administrative Region",43,0.6
6,Colombia,26539,65.7
7,Costa Rica,249,6.3
8,Croatia,101,2.3
9,Cyprus,8,0.8
10,Denmark,58,1.1
11,Ecuador,1833,14.5
12,Estonia,143,10.2
13,Finland,148,2.9
14,France,1051,1.8
15,Germany,1015,1.2
16,Guyana,76,10.1
17,Hungary,205,2
18,Ireland,37,1
19,Jamaica,887,33.4
20,Japan,678,0.5
21,Kyrgyzstan,430,8.7
22,Lithuania,370,10.6
23,Mexico,10737,10.6
24,Netherlands,180,1.1
25,New Zealand,52,1.3
26,Norway,48,1.1
27,Panama,299,9.9
28,Poland,855,2.2
29,Portugal,116,1.1
30,Puerto Rico,695,18.3
31,Republic of Korea,370,0.8
32,Romania,581,2.6
33,Saint Lucia,23,14.7
34,Singapore,41,1
35,Slovenia,36,1.8
36,Spain,553,1.4
37,Sweden,96,1.1
38,Switzerland,69,1
39,United Kingdom (England and Wales),764,1.5
40,United Kingdom (Northern Ireland),45,2.7
41,United Kingdom (Scotland),106,2.1
42,United Kingdom of Great Britain and Northern Ireland,915,1.6
43,United States of America,15586,5.5
