,Country,Homicides,Rate
0,Armenia,69,2.3
1,Australia,366,1.9
2,Brazil,45585,25.3
3,Bulgaria,255,3.2
4,Canada,582,1.9
5,"China, Hong Kong Special Administrative Region",69,1
6,Colombia,28387,68.3
7,Costa Rica,258,6.3
8,Croatia,73,1.7
9,Cyprus,2,0.2
10,Denmark,48,0.9
11,Ecuador,1906,14.6
12,Estonia,142,10.3
13,Finland,132,2.5
14,France,1119,1.9
15,Germany,955,1.2
16,Guyana,143,19
17,Hungary,203,2
18,Ireland,52,1.3
19,Jamaica,1045,38.8
20,Japan,662,0.5
21,Kyrgyzstan,411,8.2
22,Lithuania,293,8.5
23,Mexico,10088,9.7
24,Netherlands,195,1.2
25,New Zealand,60,1.5
26,Norway,46,1
27,Panama,376,11.9
28,Poland,716,1.9
29,Portugal,119,1.1
30,Puerto Rico,781,20.6
31,Republic of Korea,371,0.8
32,Romania,563,2.6
33,Saint Lucia,42,26.3
34,Singapore,31,0.8
35,Slovenia,36,1.8
36,Spain,564,1.3
37,Sweden,101,1.1
38,Switzerland,86,1.2
39,United Kingdom (England and Wales),944,1.8
40,United Kingdom (Northern Ireland),38,2.2
41,United Kingdom (Scotland),125,2.5
42,United Kingdom of Great Britain and Northern Ireland,1107,1.9
43,United States of America,16229,5.6
