,Country,Homicides,Rate
0,Armenia,77,2.6
1,Australia,255,1.2
2,Brazil,44625,23.4
3,Bulgaria,177,2.3
4,Canada,597,1.8
5,"China, Hong Kong Special Administrative Region",18,0.3
6,Colombia,17198,38.8
7,Costa Rica,369,8.4
8,Croatia,62,1.4
9,Cyprus,13,1.2
10,Denmark,39,0.7
11,Ecuador,2273,16
12,Estonia,96,7.1
13,Finland,129,2.4
14,France,993,1.6
15,Germany,757,0.9
16,Guyana,115,15.4
17,Hungary,154,1.5
18,Ireland,78,1.8
19,Jamaica,1584,57.1
20,Japan,574,0.4
21,Kyrgyzstan,416,8
22,Lithuania,277,8.5
23,Mexico,8867,7.9
24,Netherlands,143,0.9
25,New Zealand,48,1.1
26,Norway,30,0.6
27,Panama,279,8.1
28,Poland,525,1.4
29,Portugal,185,1.7
30,Puerto Rico,730,19.5
31,Republic of Korea,430,0.9
32,Romania,416,2
33,Saint Lucia,29,17.3
34,Singapore,18,0.4
35,Slovenia,24,1.2
36,Spain,482,1.1
37,Sweden,111,1.2
38,Switzerland,51,0.7
39,United Kingdom (England and Wales),729,1.3
40,United Kingdom (Northern Ireland),29,1.6
41,United Kingdom (Scotland),115,2.2
42,United Kingdom of Great Britain and Northern Ireland,873,1.4
43,United States of America,17128,5.7
