,Country,Homicides,Rate
0,Armenia,83,2.8
1,Australia,263,1.3
2,Brazil,44379,24
3,Bulgaria,244,3.2
4,Canada,625,2
5,"China, Hong Kong Special Administrative Region",45,0.7
6,Colombia,20210,47.3
7,Costa Rica,280,6.7
8,Croatia,83,1.9
9,Cyprus,16,1.6
10,Denmark,43,0.8
11,Ecuador,2390,17.7
12,Estonia,91,6.7
13,Finland,148,2.8
14,France,990,1.6
15,Germany,868,1.1
16,Guyana,131,17.4
17,Hungary,209,2.1
18,Ireland,30,0.7
19,Jamaica,1471,53.9
20,Japan,699,0.5
21,Kyrgyzstan,419,8.3
22,Lithuania,343,10.1
23,Mexico,9329,8.7
24,Netherlands,191,1.2
25,New Zealand,45,1.1
26,Norway,36,0.8
27,Panama,308,9.4
28,Poland,633,1.6
29,Portugal,144,1.4
30,Puerto Rico,797,21.1
31,Republic of Korea,420,0.9
32,Romania,516,2.4
33,Saint Lucia,37,22.8
34,Singapore,20,0.5
35,Slovenia,27,1.4
36,Spain,520,1.2
37,Sweden,107,1.2
38,Switzerland,78,1.1
39,United Kingdom (England and Wales),779,1.5
40,United Kingdom (Northern Ireland),34,2
41,United Kingdom (Scotland),137,2.7
42,United Kingdom of Great Britain and Northern Ireland,950,1.6
43,United States of America,16148,5.5
